Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,1,1,0,1,1,1,1,1,0,1,1,0,0,48,3,0,3,0,0,0,0,1,30758,49426,0.308226847389052,0.691773152610959,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,1,0,0,0,0,0,0,0,0.412350527412275,0.587649472587712,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,27,3,0,1,2,0,0,0,0,0,0,0.45229008625762,0.547709913742387,0,0,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0.45563302689839,0.544366973101616,0,0,1
1,0,1,1,0,0,7,0,7,1,0,0,0,0,36,4,0,3,0,0,0,0,1,0,0,0.446623132453285,0.553376867546709,1,1,1
0,0,0,1,0,1,0,0,0,1,0,2,0,0,43,3,1,2,1,0,1,0,0,0,0,0.403838843395136,0.596161156604863,0,0,1
1,0,1,1,0,1,2,0,2,4,0,13,0,0,43,3,0,2,2,0,0,0,0,0,0,0.418911699608777,0.58108830039123,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,238,11,1,3,0,0,1,0,101,0,0,0.000158869465839,0.999841130534155,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,1,3,0,0,1,0,0,0,0,0.299157247037341,0.700842752962661,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,1,1,0,0,2,1,0,0,0,0.290785500700209,0.709214499299794,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,70,6,0,2,0,0,0,0,4,2456,34,0.288598771909693,0.711401228090315,0,0,1
1,1,1,0,0,0,3,1,3,0,0,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0.414348211226227,0.58565178877378,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,51,3,0,2,0,0,0,0,3,6001,2145,0.386474123626677,0.61352587637331,0,0,1
1,0,1,1,0,1,15,0,15,1,0,22,0,0,70,6,0,1,1,0,0,0,0,7216921,0,3.03216705627534E-17,1,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,2,0,0,0,0,0,0,0,0.449152449479748,0.550847550520265,0,0,1
1,0,1,1,0,1,1,0,1,1,0,2,0,0,30,3,0,2,0,0,0,0,0,0,0,0.448789946724172,0.55121005327583,0,0,1
1,0,1,1,0,1,2,0,2,4,0,16,0,0,38,3,0,2,2,0,0,0,0,0,0,0.438098208100151,0.56190179189985,1,1,1
