Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,1,0,1,1,0,0,1,129,3,0,129,205,0,0,284,0,0,0,0,20,2,0,1,0,0,0,0,0,0,490,272,0
1,1,0,1,1,0,0,1,45,43,0,45,138,0,0,330,0,0,0,0,20,2,0,2,0,0,0,0,0,0,1722,41,0
1,0,0,1,1,1,0,1,32,0,0,32,7,1,0,91,0,0,0,0,17,2,0,1,0,0,0,0,0,0,222,76,0
1,1,0,1,1,0,0,1,28,1,0,28,90,0,0,427,0,0,0,0,19,2,0,2,0,0,0,0,0,0,1084,21,0
1,0,0,1,0,0,0,1,4,0,0,4,0,0,0,5,0,0,0,0,19,2,0,1,0,0,0,0,0,0,128,32,0
1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,12,0,0,0,0,24,2,0,2,0,0,0,0,0,0,10,4,0
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,17,2,0,1,0,0,0,0,0,0,614,452,0
1,1,0,1,1,1,0,1,16,2,0,16,13,1,0,181,0,0,0,0,15,2,0,1,0,0,0,0,0,0,1358,1619,0
1,1,0,1,1,0,0,1,13,1,0,13,23,0,0,178,0,0,0,0,15,2,0,1,0,0,0,0,0,0,446,193,0
1,0,0,1,1,0,0,1,20,0,0,20,7,0,0,30,0,0,0,0,20,2,0,1,0,0,0,0,0,0,295,79,0
1,1,0,1,1,1,0,1,8,2,0,8,32,1,0,163,0,0,0,0,22,2,0,1,0,0,0,0,0,0,120,11,0
1,1,0,1,1,1,0,1,7,12,0,7,10,1,0,54,0,0,0,0,19,2,0,1,0,0,0,0,0,0,1348,447,0
1,1,0,1,1,0,0,1,4,1,0,4,35,0,0,236,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,1,0,1,1,0,0,1,7,1,0,7,35,0,0,109,0,0,0,0,29,2,0,1,1,0,0,0,0,0,17886,5944,0
1,1,0,1,1,1,0,1,12,1,0,12,40,1,0,136,0,0,0,0,17,2,0,1,0,0,0,0,0,0,14649,4549,0
1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,15,2,0,1,0,0,0,0,0,0,766,1404,0
1,0,0,1,1,0,0,1,25,0,0,25,6,0,0,294,0,0,0,0,15,2,0,1,0,0,0,0,0,0,368,136,0
1,0,0,1,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,21,2,0,1,0,0,0,0,0,0,173,93,0
1,0,0,1,1,0,0,1,17,0,0,17,26,0,0,141,0,0,0,0,16,2,0,1,0,0,0,0,0,0,1677,142,0
1,1,0,1,1,0,0,1,26,1,0,26,21,0,0,62,0,0,0,0,22,2,0,1,0,0,0,0,0,0,1488,698,0
1,1,0,1,1,1,0,1,13,1,0,13,7,2,0,100,0,0,0,0,18,2,0,1,0,0,0,0,0,0,2842,2420,0
1,0,0,1,1,0,0,1,24,0,0,24,40,0,0,84,0,0,0,0,14,2,0,1,0,0,0,0,0,0,1161,43,0
1,1,0,1,1,0,0,1,23,1,0,23,51,0,0,262,0,0,0,0,22,2,0,1,0,0,0,0,0,0,2641,1549,0
1,0,0,1,1,0,0,1,3,0,0,3,11,0,0,43,0,0,0,0,19,2,0,1,0,0,0,0,0,0,2187,1172,0
1,1,0,1,1,0,0,1,34,1,0,34,24,0,0,574,0,0,0,0,19,2,0,1,0,0,0,0,0,0,1320,48,0
