Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,15,0,0,0,0,55,3,0,4,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,31,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,2,1,1,0,0,0,17,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,18,0,0,0,0,40,3,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,65,4,1,1,0,0,3,2,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,7,0,3,0,0,0,0,0,1,2175563,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,2,0,0,0,0,0,16,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,46,3,0,7,1,0,0,0,0,6,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,1,0,0,2,0,0,0,0,40,4,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,2,0,0,5,0,0,0,0,32,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,2,1,0,0,0,0,0,1321527,0,1
